																																																					
	April 2021			May 2021			June 2021			July 2021			August 2021			September 2021			October 2021			November 2021			December 2021			January 2022			February 2022			March 2022			April 2022			May 2022			June 2022			July 2022			August 2022			September 2022	
	adductor	16x50 x2		shoulder press	10x35 x2		bench press	5x40 + 5x52.5 x3 + 3x52.5		09/07/2021	push		russian twist	60x12					leg extension	12x70 x4								lateral pull down	16x50 + 10x60 + 12x50 x2					pectoral	12x15 x2 + 10x15																	pectoral	15x25 + 6x30 + 8x25
	abductor	16x50 x2		cable push down	10x17.5 x8					shoulder press	12x50 x2		sit up	40x12		28/09/2021	core		close grip pull down	12x60 x2		08/11/2021	pull																														
	low row	10x60 x6		lateral raise	10x7 x3		07/06/2021	pull		bench press	5x62.5 x4					abdominal crunch	12x40 x4					low row	12x80 x4																														
	lateral raise	16x18 x5		russian twist	25x8		low row	12x82.5 x4		russian twist	50x8		31/08/2021	mix		hanging leg raise	20 x4		09/10/2021	push		preacher curl	12x30 x4																														
	cable curl	16x15 + 10x15 x5		sit up	25x8		close grip pull down	12x60 x4		sit up	40x8		bench press	5x50 x5		leg extension	12x70 x4		shoulder press	12x50 x4		lateral raise	12x8 x4		07/12/2021	leg		07/01/2022	shoulder push		07/02/2022	dead pull		07/03/2022	barbell pull		07/04/2022	leg		07/05/2022	arm push		07/06/2022	cardio		07/07/2022	holiday push		07/08/2022	leg		07/09/2022	leg
	abductor	10x55 + 16x55 x3		shrug	16x22 x5		abdominal crunch	12x45 x2 + 6x45		cable push down	12x25 x2		chest press	12x60 x2		leg press	12x90 + 12x120 x3		cable push down	12x25 x4		chin up	12 x4		squat	10x40 + 9x60 x2 + 10x50		bench press	5x80 + 5x82.5 x3		deadlift	6x80 x4		barbell row	10x60 x4		squat	6x80 + 6x90 + 6x80 x2		bench press	6x75 + 4x80 + 6x75								squat	8x60 + 8x80 + 6x90			
	adductor	16x50 x4		skull crusher	10x30 + 6x30 + 4x30		cable curl	12x22.5 x3					abdominal crunch	12x25 x5		possum	12 x4		bench press	5x40 + 5x62.5 + 5x60 x3		cable curl	12x25 x3		leg press	10x160 + 12x140 x2 + 12x120		lateral raise	12x10 x4		lateral pull down	16x45 x3		low row	20x25 x3		leg press	16x180+ 12x220 + 12x260		chest fly	12x12 x3								calf raise	16x170 x4			
	bench press	2x60		bench press	10x30 + 10x40					10/07/2021	pull		hanging leg raise	20 x3					skull crusher	12x25 x4					leg extension	12x60 x3 + 9x60		shoulder press	10x60 x3		reverse fly	16x15 + 10x15 + 8x15 x2		chin up	16x10 + 12x10 x2		calf raise	20x160 x2 + 12x200		skull crusher	16x30 x3								leg curl	16x55 x2 + 12x60			
							08/06/2021	push		low row	6x92.5 x4					29/09/2021	pull		adductor	16x60 x4		09/11/2021	push								preacher curl	20x25 + 12x30 x3		low row	14x80 x2 + 18x60					dip	12x10 x3								leg press	12x180 + 12x220 x2			
	28/04/2021	push		07/05/2021	mix		bench press	1x70 + 5x55 x3		russian twist	50x8					low row	12x75 x4					bench press	5x70 x3											lateral pull down	16x45 + 14x45																		
